CompanyID,CompanyName,Industry,Country,YearsOperating,Employees,MonthlyRevenue,MonthlyExpenses,MarketingBudget,NewCustomers,RepeatCustomers,CustomerSatisfaction,EmployeeTurnover,ProductInnovation,MarketShare,RevenueGrowth,ProfitMargin
BG-00001,Blue Teklum Works,Retail,United States,4,111.0,426274.33,368578.46,11412.29,32,66.0,6.98,16.88,6.56,14.13,6.78,13.53491541468143
BG-00002,Blue Solzen Ventures,Healthcare,Canada,35,302.0,159665.78,127582.62,15001.89,11,46.0,7.95,9.43,6.08,14.41,45.8,20.093948747189287
BG-00003,Apex Zenlum Works,Logistics,United States,17,213.0,161082.26,137795.91,6231.29,45,113.0,7.45,23.46,6.35,6.21,28.61,14.456185305569965
BG-00004,Apex Sollum Holdings,Hospitality,Australia,43,242.0,270813.36,223714.08,30700.91,14,60.0,6.73,24.17,4.87,21.24,5.45,17.391785988697162
BG-00005,Nova Medmar Group,Hospitality,South Africa,26,329.0,277456.64,247325.19,5230.68,54,93.0,5.92,21.2,4.1,13.19,9.02,10.859877060430058
BG-00006,Blue Finora Group,Technology,United Kingdom,28,279.0,317422.86,228896.72,11386.47,226,431.0,8.29,11.18,8.01,13.13,28.24,27.88902475391974
BG-00007,Prime Orazen Labs,Healthcare,Germany,31,52.0,110709.58,66531.7,14972.05,6,17.0,9.4,9.86,7.39,6.46,34.25,39.90429735168357
BG-00008,Bright Oramar Group,Logistics,Canada,28,76.0,410781.92,337414.71,15238.61,34,67.0,7.03,19.13,7.62,8.87,36.59,17.860379541533856
BG-00009,Summit Zenfin Labs,Technology,India,9,222.0,1137666.92625,687369.57,43573.48,80,131.0,8.44,12.67,6.24,3.58,54.665000000000006,39.580772356130545
BG-00010,Prime Marora Ventures,Hospitality,France,15,284.0,77485.52,48669.88,3748.13,12,28.0,7.06,34.4,5.39,15.81,10.19,37.18841920400096
BG-00011,Apex Lumtek Labs,Manufacturing,Canada,33,450.0,1021777.82,730635.92,44730.11,226,513.5,6.08,21.03,4.82,20.71,2.85,28.493660197086673
BG-00012,Vertex Tekmed Holdings,Manufacturing,Canada,32,589.0,347584.26,225823.92,48330.53,42,67.0,6.78,17.71,7.47,9.93,35.14,35.030452759857425
BG-00013,Bright Oralum Holdings,Education,United Kingdom,17,38.0,52779.63,46899.11,6274.92,16,61.0,6.49,9.63,6.97,8.55,33.33,11.14164688157154
BG-00014,Summit Viasol Holdings,Finance,Canada,12,160.0,717088.18,326622.56,56141.72,42,126.0,7.07,18.5,5.11,10.08,12.35,54.45154876210621
BG-00015,Vertex Fintek Holdings,Manufacturing,United Kingdom,6,637.0,1137666.92625,818667.03125,92339.83000000002,226,513.5,5.82,16.54,6.17,35.215,-4.4,28.039832014058252
BG-00016,Blue Oracor Works,Hospitality,Germany,22,121.0,206221.01,191481.74,24474.02,5,40.0,6.14,24.82,4.15,15.59,-8.02,7.147317336870776
BG-00017,Vertex Tekzen Works,Technology,Nigeria,44,781.0,1137666.92625,818667.03125,92339.83000000002,226,513.5,7.55,18.66,8.52,12.25,30.4,28.039832014058252
