CompanyID,CompanyName,Industry,Country,YearsOperating,Employees,MonthlyRevenue,MonthlyExpenses,MarketingBudget,NewCustomers,RepeatCustomers,CustomerSatisfaction,EmployeeTurnover,ProductInnovation,MarketShare,RevenueGrowth,ProfitMargin
BG-00001,Blue Teklum Works,Retail,United States,4,111,426274.33,368578.46,11412.29,32,66,6.98,16.88,6.56,14.13,6.78,13.53
BG-00002,Blue Solzen Ventures,Healthcare,Canada,35,302,159665.78,127582.62,15001.89,11,46,7.95,9.43,6.08,14.41,45.8,20.09
BG-00003,Apex Zenlum Works,Logistics,United States,17,213,161082.26,137795.91,6231.29,45,113,7.45,23.46,6.35,6.21,28.61,14.46
BG-00004,Apex Sollum Holdings,Hospitality,Australia,43,242,270813.36,223714.08,30700.91,14,60,6.73,24.17,4.87,21.24,5.45,17.39
BG-00005,Nova Medmar Group,Hospitality,South Africa,26,329,277456.64,247325.19,5230.68,54,93,5.92,21.2,4.1,13.19,9.02,10.86
BG-00006,Blue Finora Group,Technology,United Kingdom,28,279,317422.86,228896.72,11386.47,245,431,8.29,11.18,8.01,13.13,28.24,27.89
BG-00007,Prime Orazen Labs,Healthcare,Germany,31,52,110709.58,66531.7,14972.05,6,17,9.4,9.86,7.39,6.46,34.25,39.9
BG-00008,Bright Oramar Group,Logistics,Canada,28,76,410781.92,337414.71,15238.61,34,67,7.03,19.13,7.62,8.87,36.59,17.86
BG-00009,Summit Zenfin Labs,Technology,India,9,222,1199574.14,687369.57,43573.48,80,131,8.44,12.67,6.24,3.58,64.87,42.7
BG-00010,Prime Marora Ventures,Hospitality,France,15,284,77485.52,48669.88,3748.13,12,28,7.06,34.4,5.39,15.81,10.19,37.19
BG-00011,Apex Lumtek Labs,Manufacturing,Canada,33,450,1021777.82,730635.92,44730.11,586,2900,6.08,21.03,4.82,20.71,2.85,28.49
BG-00012,Vertex Tekmed Holdings,Manufacturing,Canada,32,589,347584.26,225823.92,48330.53,42,67,6.78,17.71,7.47,9.93,35.14,35.03
BG-00013,Bright Oralum Holdings,Education,United Kingdom,17,38,52779.63,46899.11,6274.92,16,61,6.49,9.63,6.97,8.55,33.33,11.14
BG-00014,Summit Viasol Holdings,Finance,Canada,12,160,717088.18,326622.56,56141.72,42,126,7.07,18.5,5.11,10.08,12.35,54.45
BG-00015,Vertex Fintek Holdings,Manufacturing,United Kingdom,6,637,1333141.28,994649.36,174109.66,1244,2821,5.82,16.54,6.17,44.19,-4.4,25.39
BG-00016,Blue Oracor Works,Hospitality,Germany,22,121,206221.01,191481.74,24474.02,5,40,6.14,24.82,4.15,15.59,-8.02,7.15
BG-00017,Vertex Tekzen Works,Technology,Nigeria,44,781,3537038.58,2032237.36,315872.43,2033,2161,7.55,18.66,8.52,12.25,30.4,42.54
BG-00018,Nova Medfin Holdings,Real Estate,Nigeria,33,148,238829.36,167762.93,23904.27,44,94,7.3,7.67,6.18,7.02,7.5,29.76
BG-00019,Bright Vialum Holdings,Energy,United Kingdom,1,373,234612.71,189380.05,5043.05,7,53,7.55,4.34,5.53,14.47,9.6,19.28
BG-00020,Bright Marfin Ventures,Hospitality,Brazil,17,228,490715.09,289031.55,30981.88,58,111,5.44,29.97,7.27,2.6,0.35,41.1
BG-00021,Nova Viasol Systems,Logistics,Nigeria,11,997,459085.36,438843.38,25729.51,92,153,7.63,17.22,5.78,8.73,14.9,4.41
BG-00022,Prime Zenvia Holdings,Retail,United States,14,731,426407.93,402468.6,10899.69,31,50,6.48,31.07,6.27,6.16,7.96,5.61
BG-00023,Summit Zenfin Systems,Healthcare,South Africa,23,127,779559.29,603993.6,57101.27,104,265,9.72,1.0,5.79,11.66,31.46,22.52
BG-00024,Summit Teksol Dynamics,Real Estate,India,28,74,666851.57,504248.11,84887.42,67,108,7.15,11.08,6.26,21.29,7.75,24.38
BG-00025,Blue Soltek Dynamics,Technology,Canada,42,194,754106.51,513567.91,104314.76,94,199,10.0,12.77,5.6,26.74,10.96,31.9
BG-00026,Bright Finvia Systems,Education,Canada,42,37,44313.36,29624.71,2337.13,3,4,5.29,15.33,5.63,14.72,15.31,33.15
BG-00027,Summit Viasol Labs,Technology,France,38,90,349861.08,244101.52,13915.91,32,58,7.68,18.98,5.61,6.77,36.89,30.23
BG-00028,Summit Lumvia Group,Finance,Brazil,2,116,513159.79,378727.1,61449.62,281,1223,7.49,7.98,5.99,2.83,39.11,26.2
BG-00029,Prime Solcor Ventures,Healthcare,Brazil,33,309,150180.33,114545.95,18850.37,19,28,7.57,5.58,5.71,13.77,34.84,23.73
BG-00030,Apex Zenora Dynamics,Education,India,27,82,48647.55,40671.78,4677.66,4,8,7.95,26.71,8.69,8.98,25.33,16.39
BG-00031,Apex Lummar Labs,Finance,Germany,18,193,236800.52,117675.4,20965.91,40,101,9.34,19.64,5.55,15.25,26.86,50.31
BG-00032,Prime Zensol Dynamics,Retail,India,28,202,539225.24,365177.12,50283.59,104,319,7.09,25.48,5.43,8.78,22.94,32.28
BG-00033,Blue Medsol Works,Healthcare,United Kingdom,39,302,264425.14,201189.69,9684.39,20,112,6.11,3.03,8.14,28.14,15.86,23.91
BG-00034,Prime Marfin Works,Finance,Brazil,38,1161,613026.35,361463.94,61889.99,54,146,7.31,17.74,7.11,13.95,8.9,41.04
BG-00035,Blue Tekfin Holdings,Hospitality,Germany,9,623,140996.73,133431.4,9033.88,78,188,8.76,25.83,4.07,12.22,3.44,5.37
BG-00036,Summit Medzen Works,Education,India,37,291,24448.03,16360.84,1111.37,2,4,7.35,14.04,6.44,3.78,22.91,33.08
BG-00037,Bright Cormar Ventures,Manufacturing,Canada,24,2275,458025.15,335440.45,40485.07,22,66,6.83,18.01,5.96,4.78,5.92,26.76
BG-00038,Nova Corzen Holdings,Manufacturing,Australia,34,643,562969.2,354484.0,8959.26,88,309,5.45,24.02,7.4,18.46,11.71,37.03
BG-00039,Apex Corora Labs,Technology,Germany,21,301,1790440.79,1027900.43,150644.06,293,289,8.05,24.93,6.02,3.84,31.98,42.59
BG-00040,Bright Medlum Ventures,Hospitality,Germany,39,44,239559.67,183986.98,6133.3,23,79,7.96,30.69,3.18,15.09,12.67,23.2
BG-00041,Summit Medlum Dynamics,Healthcare,Australia,1,74,559816.93,415243.09,24809.35,53,147,8.37,8.28,7.07,5.09,-6.45,25.83
BG-00042,Nova Zenzen Holdings,Energy,South Africa,39,1175,3656423.22,2426131.02,324653.93,549,1340,5.99,14.48,6.73,1.46,9.4,33.65
BG-00043,Vertex Finmed Dynamics,Logistics,Nigeria,24,557,80983.14,65984.67,10480.22,10,37,5.7,22.52,6.08,3.81,-4.44,18.52
BG-00044,Apex Finora Dynamics,Technology,Canada,7,161,203451.45,132078.51,25863.68,24,138,7.28,1.0,8.94,19.09,38.35,35.08
BG-00045,Nova Lumsol Systems,Retail,Germany,16,375,332748.24,271154.31,37593.24,61,160,6.48,19.39,4.93,20.66,17.1,18.51
BG-00046,Nova Tekmed Works,Healthcare,South Africa,39,179,669335.19,346273.89,18657.94,110,826,7.18,10.79,7.84,9.39,11.14,48.27
BG-00047,Prime Solzen Labs,Retail,India,20,434,205632.92,172376.65,3127.18,58,208,6.79,14.7,3.62,22.45,24.57,16.17
BG-00048,Apex Lumvia Systems,Hospitality,United States,10,28,52972.12,39037.28,2305.96,12,16,6.08,30.69,5.27,15.03,18.95,26.31
BG-00049,Nova Fincor Works,Energy,India,36,75,100162.44,79144.06,8629.15,4,28,8.03,21.79,6.72,8.31,3.29,20.98
BG-00050,Vertex Tekmed Group,Logistics,United States,2,1884,1131298.11,1020707.36,131960.18,274,595,8.05,22.81,6.59,26.59,12.55,9.78
BG-00051,Blue Medvia Works,Logistics,Brazil,30,1379,1084626.78,1000383.66,136936.77,126,311,5.71,21.38,5.77,3.29,25.98,7.77
BG-00052,Apex Marsol Labs,Finance,Germany,32,149,533167.27,343348.59,43733.07,56,109,6.15,16.07,7.17,1.23,31.8,35.6
BG-00053,Apex Marmed Ventures,Education,United States,37,53,65331.26,50371.34,6513.7,8,14,6.36,13.09,6.46,8.96,7.74,22.9
BG-00054,Apex Solzen Dynamics,Hospitality,United Kingdom,12,261,120391.66,101366.1,4053.8,7,29,6.04,15.3,2.97,11.76,-27.1,15.8
BG-00055,Summit Zenlum Systems,Healthcare,Canada,24,834,140668.93,96473.2,17329.93,11,40,9.94,9.98,8.79,11.74,31.9,31.42
BG-00056,Nova Marmar Labs,Retail,Australia,35,4032,459761.97,329348.74,41480.57,29,103,7.03,23.67,5.52,23.52,3.28,28.37
BG-00057,Vertex Marmar Ventures,Real Estate,Canada,9,115,385765.81,230527.65,15531.32,102,229,7.25,13.67,4.59,28.58,13.29,40.24
BG-00058,Nova Oralum Group,Education,France,5,91,136275.64,100500.78,17403.11,6,15,6.51,16.73,7.69,12.93,11.2,26.25
BG-00059,Blue Tekmed Group,Logistics,United Kingdom,23,341,234729.78,209951.84,20662.91,26,29,7.19,19.62,5.52,17.72,0.91,10.56
BG-00060,Vertex Marmar Labs,Retail,United States,8,286,108316.86,77158.65,7224.3,12,47,8.16,30.62,6.14,26.44,18.86,28.77
BG-00061,Nova Soltek Works,Retail,Brazil,1,234,996128.12,761764.29,81753.23,156,357,7.45,28.99,7.48,18.68,30.69,23.53
